epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,576.409,1.27168,0.36432,0.25085,0.70619,1.10792,0.98202,1,0.995,0.61954,0.98202,1,0.995,0.95609,1.33249,0.28657,0.063,0.80376,1.21428,0.00139194,0.00139194,0.00139194
11,631.19,1.29747,0.41606,0.30257,0.69966,1.11131,1,0.9999,0.995,0.58877,1,0.9999,0.995,0.982,1.32333,0.23074,0.07453,0.81309,1.16649,0.00134,0.00134,0.00134
12,684.579,1.36243,0.33237,0.2763,0.69682,1.08723,0.99367,1,0.995,0.52394,0.99367,1,0.995,0.93481,1.39109,0.34558,0.05981,0.91906,1.19334,0.001274,0.001274,0.001274
13,737.55,1.3401,0.40477,0.30854,0.70543,1.0984,0.97026,1,0.99451,0.53116,0.97026,1,0.99451,0.91996,1.42762,0.28695,0.05757,0.88071,1.25779,0.001208,0.001208,0.001208
14,790.698,1.25973,0.37796,0.22954,0.67906,1.07833,0.99837,1,0.995,0.60239,0.99837,1,0.995,0.995,1.4283,0.19477,0.06673,0.70427,1.24169,0.001142,0.001142,0.001142
15,843.302,1.29007,0.4512,0.25358,0.66193,1.07828,0.9972,1,0.995,0.60894,0.9972,1,0.995,0.99107,1.37575,0.20519,0.06609,0.6522,1.19777,0.001076,0.001076,0.001076
16,898.804,1.24087,0.35162,0.2397,0.64951,1.08249,0.99668,1,0.995,0.59035,0.99668,1,0.995,0.98235,1.36432,0.19396,0.06037,0.65228,1.20605,0.00101,0.00101,0.00101
17,1007.1,1.30499,0.45071,0.28507,0.66632,1.10612,0.99655,1,0.995,0.49246,0.99655,1,0.995,0.95538,1.49563,0.24371,0.06197,0.70557,1.32229,0.000944,0.000944,0.000944
18,1102.03,1.22415,0.33709,0.26253,0.63505,1.08909,0.99681,1,0.995,0.51621,0.99681,1,0.995,0.97879,1.52426,0.20512,0.05643,0.7495,1.3592,0.000878,0.000878,0.000878
19,1176.13,1.21588,0.36706,0.28196,0.65153,1.09362,0.99507,1,0.995,0.52279,0.99507,1,0.995,0.97664,1.47492,0.226,0.05835,0.71186,1.30468,0.000812,0.000812,0.000812
20,1233.65,1.19411,0.35797,0.25935,0.59548,1.07853,0.99418,1,0.995,0.57904,0.99418,1,0.995,0.9841,1.43223,0.20693,0.06205,0.61578,1.25242,0.000746,0.000746,0.000746
21,1285.69,1.26358,0.28662,0.06826,0.64925,1.15965,0.99602,1,0.995,0.51124,0.99602,1,0.995,0.98047,1.54015,0.20496,0.0583,0.66158,1.31839,0.00068,0.00068,0.00068
22,1338.24,1.24804,0.22327,0.07304,0.60281,1.10847,0.9958,1,0.995,0.63123,0.9958,1,0.995,0.98735,1.3341,0.17886,0.0586,0.61629,1.22235,0.000614,0.000614,0.000614
23,1408.57,1.15025,0.18964,0.06546,0.5745,1.092,0.99626,1,0.995,0.5651,0.99626,1,0.995,0.99132,1.44857,0.15778,0.05392,0.62794,1.25478,0.000548,0.000548,0.000548
24,1533.23,1.17546,0.18021,0.06395,0.59639,1.09797,0.99759,1,0.995,0.62171,0.99759,1,0.995,0.99137,1.39563,0.16003,0.05016,0.626,1.23599,0.000482,0.000482,0.000482
25,1657.9,1.11704,0.19815,0.0562,0.5809,1.08052,0.99688,1,0.995,0.62085,0.99688,1,0.995,0.99141,1.39093,0.15633,0.04972,0.62482,1.2302,0.000416,0.000416,0.000416
26,1779.27,1.10616,0.17099,0.05129,0.55119,1.07833,0.97504,1,0.995,0.53681,0.97504,1,0.995,0.99146,1.49254,0.13551,0.05128,0.64223,1.24908,0.00035,0.00035,0.00035
27,1901.21,1.11812,0.16511,0.05338,0.55371,1.0934,0.99742,1,0.995,0.59653,0.99742,1,0.995,0.99145,1.3628,0.13097,0.05018,0.61011,1.21609,0.000284,0.000284,0.000284
28,2024.59,1.08643,0.15551,0.05406,0.54337,1.0566,0.99474,1,0.995,0.60248,0.99474,1,0.995,0.99145,1.32324,0.13292,0.04853,0.60356,1.21959,0.000218,0.000218,0.000218
29,2132.41,1.04461,0.14721,0.05331,0.52571,1.01454,0.9957,1,0.995,0.58974,0.9957,1,0.995,0.99148,1.3909,0.13031,0.04867,0.62425,1.22639,0.000152,0.000152,0.000152
30,2238.87,1.06554,0.14236,0.04934,0.53284,1.06673,0.99399,1,0.995,0.58587,0.99399,1,0.995,0.99145,1.39297,0.12228,0.04859,0.59856,1.23342,8.60E-05,8.60E-05,8.60E-05
1,90.4878,1.25084,0.7607,0.4176,0.83391,1.24297,0.90659,0.9375,0.98232,0.65065,0.90659,0.9375,0.98232,0.62464,1.14327,0.76658,0.04834,1.59482,1.15328,0.00022,0.00022,0.00022
2,162.087,1.13663,0.64026,0.43139,0.70936,1.16293,0.99626,1,0.995,0.70356,0.99626,1,0.995,0.81364,0.94961,0.47952,0.06488,0.57504,1.0086,0.00044482,0.00044482,0.00044482
3,230.15,1.04186,0.59068,0.39395,0.64244,1.10691,1,0.99919,0.995,0.75414,1,0.99919,0.995,0.9886,0.87966,0.1803,0.08295,0.53354,0.99043,0.0006538,0.0006538,0.0006538
4,306.242,0.98903,0.39979,0.35857,0.59213,1.08383,0.99881,1,0.995,0.74778,0.99881,1,0.995,0.98961,0.87836,0.16792,0.09124,0.50465,1.01015,0.00084694,0.00084694,0.00084694
5,390.917,0.99201,0.40856,0.36373,0.59048,1.09928,0.99829,1,0.995,0.76793,0.99829,1,0.995,0.98423,0.89489,0.19609,0.09145,0.54882,1.03627,0.00102424,0.00102424,0.00102424
